,814 S Trafton St,,not heavy metal,East Morton St. Band (45),,Gator Duke (20),,Ruthie and the Muted Earthtones (30),,PARADE,,,,,,,,,
cluster 2,844 S Trafton St,,"gospel, folk, country, R&B, soul, pop, blues",,,,,The Wednesday Night Band (60),,PARADE,,,,,,,,,
,1034 S Trafton St,backyard,asked for Tributary - but they haven't signed up,The Geyers (15),,Tributary,,Nothing Sounds Good (15),,PARADE,,,,,,,,,
,S 11th closure,,,Tacoma Ceili: Irish Music & Dance with Margaret (45),,,,,,PARADE,,,,,,,,,
,806 S Steele St,Clairiss and Sam,,Clairriss (30),,Seperator (20),,Xek (30),,,,,,,,,,,
cluster 11,1030 S State St,single or small group,,The Margarets (20),,LowLightRoom,,Hamacist (Trance) (60),,,,,,,,,,,
,2216 S 8th St,no preference,,Ephmeral Tide (30),,OjczymeK (30),,Dylan Lost! (30),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
cluster 9,2607 S 11th St,,,,,,,,,PARADE,,Jays & Co. (45),,Eijah Bossenbroek (60),,,,,
cluster 9,2610 S 11th St,,,,,,,,,PARADE,,Verota (20),,Cool Nerd Mark (30),,,,,
,2910 S 7th St,,,,,,,,,PARADE,,Jay Mabin and Friends?,,Jay Mabin and Friends?,,Jay Mabin and Friends?,,,
,3108 S 7th St,big yard,"pop, folk, rock",,,,,,,PARADE,,Jamarage (30),,Logan and The Big Dogs (15),,Party Store (20),,,
,3119 S 7th St,small porch,would love / welcome lgbtq+,,,,,,,PARADE,,Rough Tail (15),,Edboy (30),,The Habits of Water (30),,,
,2809 S 8th St,,,,,,,,,PARADE,,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,,
,2907 S 8th St,Irina,open,,,,,,,PARADE,,,,,,,,,
cluster 10,"611 S Anderson St, A4",small porch,anything but country,,,,,,,PARADE,,Sean G.M. (15),,Faith Martin (30),,Me My Uke and I (15),,,
cluster 10,616 S Anderson St,small porch,"might recruit more bands, managing own lineup",,,,,,,PARADE,,Whitney Ballen (30),,knuckle beach.  (30),,Skyler Ford,,,
,626 S Anderson St,,,,,,,,,PARADE,,Motorboat (15),,Macroaggression (15),,Prickly Paranoia (20),,,
cluster 4,812 S Anderson St,,,,,,,,,,,,The Now!? (30),,Minor Keys (35),,Kick Fu Squad (40),,
cluster 4,814 S Anderson St,,,,,,,,,PARADE,,Hell Pony (15),,Jacks and Aces (45),,Scott Taylor (30),,,
cluster 4,818 S Anderson St,,,,,,,,,PARADE,,The Mayonnaise(30),,Taylor Sizemore ,,Echo Ravine (30),,,
cluster 4,819 S Anderson St,,art show,,,,,,,PARADE,,Matthew Cheramy Art Show,,Matthew Cheramy Art Show,,Matthew Cheramy Art Show,,,
,831 S Anderson St,Douvilles,,,,,,,,PARADE,,,Flür (30),,Loud Noises (30),,The Villains Inside (20),,
,847 S Anderson St,,recruited their own bands,,,,,,,PARADE,,Accendino (45),,The Cover Changers (30),,,,,
,802 S Junett St,fem / folk indie,"female of folk, folk rock, kids, quirky, melodic punk - not metal, hard rock, reggae",,,,,,,PARADE,,Kristen Marlo (30),,Steep & Salty (20),,Karen Laura Peters (40),,,
,819 S Junett St,,,,,,,,,PARADE,,The Madisons (15),,TaytorsPrecious (30),,Barditch (30),,,
cluster 6,625 S Oakes St,next to HOC,no preference,,,,,,,PARADE,,Bobby Soxxer (20),,Moss Grunt (45),,Hollow Daze (30),,,
,802 S Oakes St,,,,,,,,,PARADE,,Hard Softee (20),,Great Comet,Haunted House (30),Emo Sing-A-Long: A Tribute to Dashboard Confessional (20),,,
,826 S Oakes St,Catherine Satava,,,,,,,,PARADE,,Kye Alfred Hillig (30),,Jazz Therapy and friends (45),,Jazz Therapy and friends,,,
,844 S Oakes St,,,,,,,,,PARADE,,,Stephcynie (15),,donhavi (15),,Reaper PunX (30),,
,922 S Pine St,Joe Filkins,,,,,,,,PARADE,,Haystack Slim and the Broken Arow (30),,Jupe Jupen(35),,Evan Purcell and the Big Hello (30),,,
,1015 S Pine St,Nic Daniel,,,,,,,,PARADE,,Joy Priest (60),Forro Branquelo (15),,Wild Rose Orca-Stra (25),,Puget Sounds (30),,A Gathering of Poets
,2913 S 10th St,,,,,,,,,PARADE,,Stringlove (60),,T-Town Low Down Trad Jazz Band (30),,,,,
